입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
요기요만 지금 6년째 쓰다갸 혼자 뒤쳐진 시스템에 질려서 떠납니다 주문을 한 뒤에 요기요측 전산 문제로 고객이 돈을 손해보는 이런 황당한 경우가 있네요 ㅋ 답변은 또 소중한 고객의 의견 하면서 복붙할게 뻔하네요 그렇게 운영을 하니까 타 플랫폼에 뒤쳐지고 무능력한겁니다 가끔보면 정말로 고객들 다 떠나게 히려고 애쓰는거 같아요,일반,기타,부정,99.4%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
개발자가 굉장한 저급한 말들을 썼네요; 제정신인가요? ㅂㅈ쌈 먹고싶다라는 말에 머리가 어지럽네요. 쿠팡은 면접도 안보나요?,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
일일이 주문전화 하지않아도 되고 결제까지 미리되니까 편해서 좋네요~,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
다양한 할인쿠폰에 빠른 배달~ 넘 좋아요,"배달, 가격/양",기타,긍정,99.8%,"배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
요기요 쓰는 사람들 가게에서 접수 거절뜨거나 접수 불가뜨는거 매장으로 전화 다시 해보세요. 요기요 사장님 어플 검색해보면 별점 개차반임 요기요 안울렸는데 지혼자 거부 되고 주문 안받는다고 가게 주문 락걸고 이게 벌써 1년째임. 고치질 못함. 주문 울려서 핸드폰 여니까 접수 남은 시간 3.2.1 이러더니 거절됨 접수 시간 3초주면 실버서퍼 급 아니면 받을 수 있으려나 모르겠음. 배민 진짜 개같아서 요기요로 갈아타는 사람 많이 봤는데 사장 어플쪽에선 개 쓰‐레기 취급 받는게 요기요임. 컨플레인 아무리 걸어도 기술적으로 못하는건지. 황당. 아무튼 거절 뜨는 사람들 다시 문의 해보시길 추천.,"맛, 배달",기타,부정,99.3%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
초반에 할인쿠폰 만원짜리도 주고^ 간편하게 접수하고 리뷰구경도 가능하고 다좋아요,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
완전 느려터짐 배달 느려 취소느려 광고만 빨라,배달,기타,긍정,99.4%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배민 다양한 맛집과 주문에서 도착까지 추가비용이 조금 부담되지만 맛있는 음식을 먼거리에서도 배달시킬 수 있어서 좋아요^,"맛, 배달, 가격/양",기타,긍정,99.7%,"맛, 배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
배민보다 확실히 빠르고 준비사항및 배송위치를 알수있어서 좋았어요^_^,일반,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
전 진짜 지금까지 만족하고 쓰고 있습니다 진짜 너무 좋아요 ! ㅠ 요기요 쓰다가 음식이 별로라서 친구 추천으로 깔아서 했는데8번이나 배달 시켰는데 배송도 빨리오고 진짜 빨리오고 식당도 되게 볼수있게금 정리도 잘되어있고 주문도 쉽고 진짜 리뷰도 잘되어 있구 무엇보다 시킬때 사장님한테도 따로 할수 있게 잘되어있고 너무너무 좋아요 후회없는 앱입니다 최고에요!♥ 아 근데 만나서 카드결제나 현금결제할때도 쿠폰은 많은데 제가 계좌가 없어서 혜택을 못받고 있어요 좀 너무해요 그 기능은 개선좀 해주세요 .ㅠ,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
양도 많고 괜찮았지만 테이블이 끈적거려서 다신 안 가요ㅠ,가격/양,기타,긍정,99.4%,가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
유투브 광고에 맥도날드 만원팩 4000 원이라 나오는 이 광고 뭐죠? 만원팩 4천원이라 해서 앱 받고 확인해봣는데 전혀 할인제공이라든가 없던데? 무슨 슈퍼클립인가 뭐시긴가 가입하면 3처넌 할인이고 뭐고 광고를 저리 할거면 안내를 제대로 해주든가,일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
쿠팡이츠 배달앱 으로주문 하면 각음식 조리시간은 조금 차이는 있지만 중화음식 햄버거 피자 치킨 똥집 약 30분내에 도착합니다,"맛, 배달",패스트푸드,부정,76.3%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
솔직히 말해서 정말 잘쓰고있는데 포장주문할때 만나서 결제가 안되더라고요 그거만 추가해주시면 감사하겠ㅅ븐다,배달,기타,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
음식이 바뀌었는데 고객센터 전화 50분 기다려서 고객센터에 문의했더니 새벽 3시분이었는데 3시이후로는 배민1 관련 시스템관련 상담을 안한다고 내일 아침9시이후에 연락하라는데 이게 참 어쩌라는건지 모르겠네요 고객센터 전화도 문의가 많다고 3번이나 다시건건데 다시는 배달시키고 싶지 않고요 최악이네요 결국에 다음날 정화 한 8번해서 겨우 고객센터랑 연결되었는데 그냥 고객센터에서 배민1고객센터로 연결되는데 4번 걸렸네요. 고객센터에서 바로 연결시켜주는것도 아니고 또 대기타다가 사람 많다고 끊기고 차라리 배민1전용 전화번호를 주세요. 그렇게 고객센터에 연락가도 가게 과실인데 가게가 번화 안 받는다고 할수있는게 없다고 결국 메세지 하나 보내놓고 아무런 보상이나 조치 받지도 못하고 끝났네요 개선 좀 하세요 진짜,"맛, 배달",기타,부정,99.5%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
솔직히 이거 평점 낮게주는 사람들 반성해야됨; 배달어플나오고 삶의질이 달라짐 특히나 카카오페이 연동 까놓고 말해서 자꾸시켜먹게되는거랑 카드잔고 사라지는거 잘 못느끼는게단점아님?ㅋ 앱에서 결제하면 음식 놓고가시라고할수있는게 제일좋음 헤헤,"맛, 배달",기타,긍정,95.9%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
아니장난하는것도아니고 1시45분시키고 2시 28분 도척이엿던게 지들맘대로 3시3분으로바뀌고 주문취소한다는데 연락도안되고주문취소를허락받아야만해주고 장난칩니까? 내가시간이계속늘어나고지연되서늦어지니까안먹겟다는데무슨허락을받아요 그러고거절됫다면서맘대로보낸다고하고 시간은시간대로버리고기분만더러워지고 운영참 거지같이하네,"맛, 배달",기타,부정,99.5%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"시스템이 엉망임 스포티파이 쿠폰 쓰라고 주더니 사용 불가ㅋ 배달할인쿠폰 역시 적용 안 되고, B마트 홍보로 도배되어 앱 이용이 불가할 정도다. 언젠가는 나아지지 않을까 하면서 삭제하지 않고 기다렸으나, 의미 없는 버티기였다. 500MB나 차지하는 용량이 아까워지기 시작했다(25.02.07) 5개월을 더 기다려봤지만. 바뀐 것이 없다. 조건 없는 9천 원 쿠폰을 줬는데, 막상 들어가면 쿠폰 적용이 안 된다. 스팸질도 적당히 해라 양아치 놈들아;(25.07.27)","배달, 가격/양",기타,부정,99.5%,"배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
사장님 뭐 남으시나요? 전국 팔도 사람들이 다 알았으면 좋겠어요. 돈쭐나셔야 합니다 진짜.,일반,기타,긍정,99.8%,가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
예전에는 안그랬는데 갑자기 업데이트하면서 주문량이 많다고 앱자체에 들어가지 못하게하네요.왜그러는거죠? 그리구 연결이좋지않다고하는데.이유를모르겠네요,일반,기타,애매,94.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
제 리뷰 왜 비공개하시냐구여. 왠만하면 리뷰 좋게 달아주는데 너무 충격적인 맛이라 한 번 좀 별로였다 남겼더니 그걸 숨겨버리네. 이게 조작이지,맛,기타,부정,98.5%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
"이벤트랑 혜택이 점점 많아져서 좋아요! 예전엔 배민을 더 많이 썼었는데, 지금은 슈퍼클럽도 가입해서 요기요를 주로 사용하고있네요ㅎ",일반,기타,애매,99.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
사용하기편하구요 쿠폰두마니주셔서잘사용합니다,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
11시 26분 도착이라고 해서 밖에서 기다렸더니 12시 넘어서 왔네요. 시스템 개판. 지연시간 고객센타 지들 모니터에만 뜨면 뭐하나고. 시킨 사람한테 알려줘야지. 도착시간만 믿고 먼저가서 기다리지 마세요.,"맛, 배달",기타,부정,99.5%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
찜 목록이 30개 밖에 안돼요 ㅇㅁㅇ 더 늘렸으면 좋겠어요,일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
네 먹고싶은 음식을 시켜 먹을 수 있어 너무 추천합니당^,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
쿠팡이츠 사용하는 업소지만.어떤때는 배차가 빠르다가도 어떤때는 음식이 나왔는데도 배차가 안되어있습니다. 일일히 쿠팡센터에 전화해서 배차문의하기가 막상 힘이듬. 식어가는 음식을 볼때마다 속이 타들어갑니다.,맛,기타,부정,98.7%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
이용은 편한데 결제수단이 다른 배달앱에 비해 불편하고 힘들어요. 아이들이 배달시키고 결제가 안되서 좀 속상해요.,배달,기타,긍정,78.3%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
앞으로 쭈우욱 요기요로 이용할예정이에요! vip고객을 뭐로아는 타 업체랑은 달랐으면 좋겠어요 자주 이용하는 고객에게 많은 혜택이 돌아가는 어플이길 바래봅니다!,일반,기타,애매,99.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
참 어이가없네요 쿠팡이츠배달파트너이용중인더 한번 배달을잘못하였습니다. 잘못배달하고나서 쿠팡고객센터에서 연락이왔고 쿠팡쪽에서 이번엔 알아서하신다고 걱정마시라고 답변받았습니다. 혹시나해서 불이익받는게없냐는 말에 쿠팡쪽에서 불이익없으시다는답변까지받고 안도했는데 일주일후 다시 고객센터에서 전화와서 배달잘못한거 배달비랑 음식값이랑 차감하겠답니다. 차감하는거 좋습니다 제가잘못했으니까요 근데 왜 말이 바뀌는지모르겠습니다. 불이익없다는 말 그후 일주일 차감하겠다니요? 갑질하는건가요 아님 배달하는사람 무시하는건가요? 참 어이가없네요 쿠팡 이츠 배달 하지마세요 진짜 어이가없어서올립니다,"맛, 배달",기타,부정,99.4%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
별 4개 준 이유는 앱은 좋은데 배달비 비싼 가게들이 너무 많아요,배달,기타,긍정,94.8%,"배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
"배민 천생연분등급인데 쿠팡이츠 할인쿠폰도 좋고 배달도 빠르다고해서 동생한테 추천받아 오늘 처음써봤습니다. 그런데 첫주문에 문앞배달인데 음식 분실됐습니다. ㅡ 배민 그렇게오래 천생연분등급유지하면서 배달오배송으로 재배달은있었지만 (동,호수 오배송이나 음식바뀜 등) 완전분실은없었는데 쿠팡이츠 첫주문부터 기사님이 제대로 배달했다는데도 분실된건 기분이 상당히 안좋아요. 같은층 단 4세대인데 이전 복도식 오피스텔살때도 분실된적없는게 분실된다? (지금집도 물건 또는 음식 분실된적없음) 제대로 배달한게 맞긴한건지.너무 이해안됩니다. 상담원분은 친절하시고 처리방식(재주문 또는 주문취소중 선택) 은 빠른데 일단 음식이 완전 분실되었다는자체가 처음겪은일이라 기분이 나쁘고 다시 사용하기 좀 꺼려지네요. 그리고 같은층 사시는분들 괜히 의심하게 됐어요 젠장.","맛, 배달",기타,긍정,81.7%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
주로 쿠팡이츠로 주문해서 그런지 저는 쿠팡이츠가 편하고 추천식당들이 맛있는 집들이 많아서 좋아요,맛,기타,긍정,99.7%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
건의 사항 : 주문 많은 수로 나열했을 때 기간 설정을 할 수 있으면 좋겠습니다. 그 기간의 최대를 전체가 아닌 1년으로 잡아도 좋을 것 같습니다.,맛,기타,긍정,99.1%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
"전화주문 귀찮아서 몇 번 피해사항이 있었는데도 불구하고 꾸역꾸역 썼는데, 이제 진짜로 안 쓸 예정. 가게측에서 배달누락돼서 2시간만에 음식받는건 그냥 숨쉬듯 있는일이고 배달예상시간? 맞은 적이 없음. 왜 만들어놨는지 모를 시스템. 라이더는 상스런 욕설에 위협적으로 문 두드리고 참다 못해 리뷰썼더니 리뷰차단시켜 버림ㅋ더러워서 안쓴다","맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
